"DV (0=Trash, 1= Give)"," (-.5 = Disadvantaged by Self, .5 = Disadvantaged by Other)","Age (1= younger, 2 = older)",Age,"Sex (1=Male, 2= Female)",,,,,,,,
1,0.5,1,65,1,,,,,,,,
1,0.5,1,64,1,,,,,,,,
0,0.5,1,64,1,,,,,,,,
0,0.5,1,62,1,,,,,,,,
0,0.5,1,62,1,,,,,,,,
0,0.5,1,60,2,,,,,,,,
0,0.5,1,61,1,,,,,,,,
0,0.5,1,60,1,,,,,,,,
0,0.5,1,60,1,,,,,,,,
1,0.5,1,59,2,,,,,,,,
1,0.5,1,60,1,,,,,,,,
1,0.5,1,58,2,,,,,,,,
0,0.5,1,59,1,,,,,,,,
0,0.5,1,59,1,,,,,,,,
0,0.5,1,59,1,,,,,,,,
0,0.5,1,57,1,,,,,,,,
1,0.5,1,57,2,,,,,,,,
1,0.5,1,57,2,,,,,,,,
0,0.5,1,57,1,,,,,,,,
0,0.5,1,56,2,,,,,,,,
0,0.5,1,55,2,,,,,,,,
0,0.5,1,56,1,,,,,,,,
0,0.5,1,56,2,,,,,,,,
0,0.5,1,55,1,,,,,,,,
0,0.5,1,54,2,,,,,,,,
1,0.5,1,54,1,,,,,,,,
1,0.5,1,52,2,,,,,,,,
0,0.5,1,51,1,,,,,,,,
0,0.5,1,52,2,,,,,,,,
0,0.5,1,51,1,,,,,,,,
0,0.5,1,49,2,,,,,,,,
0,0.5,1,49,2,,,,,,,,
0,0.5,1,48,1,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
